id;code_fournisseur;raison_fournisseur;adrfournisseur;pays_fournisseur;ville_fournisseur;mail_fournisseur;cel_fournisseur;tel_fournisseur
1;Pound c override;withdrawal plum Directeur;SQL Computers;Small matrix seamless;synthesize Home hybrid;hack mindshare Lorraine;Gorgeous Bedfordshire;back Frozen
2;b Harpe;b Tasty;Checking c;a;Dominique;Account;Cotton blue Tuna;Home Seine
3;deposit Electronics;initiatives Basse-Normandie open-source;Corse Executif Cotton;Assistant Avon pink;withdrawal;Shoes;Granite;back Irlande best-of-breed
4;monitoring Auvergne;directional content;Shoes;payment Loan;Producteur Bretagne;system;Licensed Account generate;transmitter Îles
5;Avon metrics;Ergonomic c;Buckinghamshire;harness Zadkine redundant;expedite primary;Garden Stagiaire;b Colombie Cheese;platforms
6;24/365;Keyboard Auto leading-edge;connect generate withdrawal;Specialiste;eyeballs copy;Organized Analyste plum;Buckinghamshire Pound;Buckinghamshire Bacon Yen
7;green a programming;transparent Account Pakistan;Picardie;best-of-breed approach;Laffitte Steel Operative;Steel Leone;port;Practical withdrawal
8;Buckinghamshire Rubber hack;Technicien c;benchmark Home copy;Investment generating olive;indexing Handmade;empower;microchip;Cambridgeshire Île-de-France
9;Refined withdrawal strategy;Fantastic Franche-Comté silver;teal application bus;Lesotho;invoice;generating Ergonomic Refined;matrix Wooden concept;c
10;Money SSL;teal Incredible copy;monetize Beauty communities;Tala Auvergne Business-focused;deposit;Analyste TCP;deposit Account Account;Plastic discrete
